"book_name","editor","org_name","publisher","publish_date","period","edu_level","category"
"英语口语教程（第2版）学生用书、教师用书","姚保慧","临沂师范学院","高等教育出版社",,"十五","本科",
"英语听力教程（第2版）（1―6册）（学生用书、教师用书）","张民伦","华东师范大学","高等教育出版社",,"十五","本科",
"影视鉴赏","彭吉象","北京大学","高等教育出版社",,"十五","本科",
"有机化学","有机化学教研组","华东理工大学","高等教育出版社",,"十五","本科",
"有机化学（第3版）","胡宏纹","南京大学","高等教育出版社",,"十五","本科",
"园艺通论（第2版）","马凯","南京农业大学","高等教育出版社",,"十五","本科",
"政治学原理（第2版）","王惠岩","吉林大学","高等教育出版社",,"十五","本科",
"中国古代舞蹈审美历程","袁禾","北京舞蹈学院","高等教育出版社",,"十五","本科",
"中国广告史","赵琛","辽宁大学","高等教育出版社",,"十五","本科",
"中国哲学史","郭齐勇","武汉大学","高等教育出版社",,"十五","本科",
"中国政治文化教程","葛荃","南开大学","高等教育出版社",,"十五","本科",
"中国宗教通论","詹石窗","厦门大学","高等教育出版社",,"十五","本科",
"中西文化关系史","张国刚","南开大学","高等教育出版社",,"十五","本科",
"中学数学教育学概论：初等数学研究（中学代数研究、中学几何研究）","张奠宙、宋乃庆","华东师范大学、西南师范大学","高等教育出版社",,"十五","本科",
"中央银行学（第2版）","王广谦","中央财经大学","高等教育出版社",,"十五","本科",
"综合和设计化学实验","张寒琦","吉林大学","高等教育出版社",,"十五","本科",
"企业形象导入","刘瑞武","北京联合大学广告学院","高等教育出版社",,"十五","本科",
"80X86汇编语言程序设计","王元珍","华中科技大学","华中科技大学出版社",,"十五","本科",
"材料成形工艺基础(第3版)","沈其文","华中科技大学","华中科技大学出版社",,"十五","本科",
"画法几何及机械制图(第3版）","常明","华中科技大学","华中科技大学出版社",,"十五","本科",
"机械工程控制基础(第5版)","杨叔子","华中科技大学","华中科技大学出版社",,"十五","本科",
"科技法学","罗玉中","华中科技大学","华中科技大学出版社",,"十五","本科",
"防伪印刷原理与工艺","张逸新","江南大学","化学工业出版社",,"十五","本科",
"高分子材料","黄丽","北京化工大学","化学工业出版社",,"十五","本科",
"过程设备设计","郑津洋等","浙江大学","化学工业出版社",,"十五","本科",
"过程装备制造与检测","邹广华","沈阳化工学院","化学工业出版社",,"十五","本科",
"化工传递过程基础","陈涛、陈国亮","天津大学","化学工业出版社",,"十五","本科",
"化工热力学","马沛生","天津大学","化学工业出版社",,"十五","本科",
"化工原理（上、下册）","陈敏恒等","华东理工大学","化学工业出版社",,"十五","本科",
"化学工艺学","米镇涛","天津大学","化学工业出版社",,"十五","本科",
"设备故障诊断","沈庆根","浙江大学","化学工业出版社",,"十五","本科",
"生物分离工程（第2版）","孙彦　　","天津大学","化学工业出版社",,"十五","本科",
"特种印刷技术","赵秀萍","天津轻工业学院","化学工业出版社",,"十五","本科",
"现代基础化学","朱裕贞等","华东理工大学","化学工业出版社",,"十五","本科",
"药物化学","尤启冬","中国药科大学","化学工业出版社",,"十五","本科",
"制药工程导论","白鹏","天津大学","化学工业出版社",,"十五","本科",
"自动检测技术与装置","张宏建","浙江大学","化学工业出版社",,"十五","本科",
"CAD/CAM与数控加工应用实践教程","姚振强、孙祖和","上海交通大学","机械工业出版社",,"十五","本科",
"材料成型计算机模拟（第2版）","董湘怀","华中科技大学","机械工业出版社",,"十五","本科",
"材料加工CAD/CAE/CAM技术基础","陈立亮","华中科技大学","机械工业出版社",,"十五","本科",
"测控电路（第2版）","张国雄","天津大学","机械工业出版社",,"十五","本科",
"工程光学（第2版）","郁道银","天津大学","机械工业出版社",,"十五","本科",
"公共关系","梁敬贤","福建职业技术学院","机械工业出版社",,"十五","本科",
"机械工程测试技术基础（第3版）","熊诗波、洪达生","太原理工大学　上海交通大学","机械工业出版社",,"十五","本科",
"机械基础(非机类专业适用）（第2版）","范思冲","东南大学","机械工业出版社",,"十五","本科",
"机械设计学（第3版）","黄靖远","清华大学","机械工业出版社",,"十五","本科",
"控制技术与系统（第2版）","黄惟一","东南大学","机械工业出版社",,"十五","本科",
"模具设计基础及模具CAD","李建军、李德群","华中科技大学","机械工业出版社",,"十五","本科",
"汽车理论（第4版）","余志生","清华大学","机械工业出版社",,"十五","本科",
"汽车系统动力学","喻凡、林逸","上海交通大学、吉林大学","机械工业出版社",,"十五","本科",
"热能与动力工程测试技术（第2版）","严兆大","浙江大学","机械工业出版社",,"十五","本科",
